Iteration,Fitness
10,55.17231862196702
20,52.76770391419306
30,65.93051071408242
40,62.838465545057076
50,104.97984329119798
60,189.6136565653115
70,263.3058613625192
80,236.44156828470173
90,154.6456848313514
100,185.5087987374775
110,215.03948783956406
120,182.88743652715723
130,212.5309972766857
140,179.92484236320217
150,216.47698276367015
160,179.3443254157061
170,295.79667896305057
180,228.11848085818133
190,250.77534483546827
200,220.9070663518106
