Iteration,Fitness
10,[93.86726373037492, 117.30001199538721, 83.02800621479382]
20,[94.46368323162753, 117.30001199538721, 83.02800621479382]
30,[94.46368323162753, 117.30001199538721, 97.60521598258437]
40,[229.39847741223804, 117.30001199538721, 120.07144707187346]
50,[229.39847741223804, 117.30001199538721, 182.4452300182718]
60,[390.9238861453458, 146.6688609246773, 194.64283650844587]
70,[390.9238861453458, 302.29702073357896, 247.4430362388559]
80,[390.9238861453458, 314.45425296766507, 309.9279976675126]
90,[390.9238861453458, 314.45425296766507, 309.9279976675126]
100,[390.9238861453458, 314.45425296766507, 309.9279976675126]
110,[390.9238861453458, 314.45425296766507, 326.0945776084175]
120,[390.9238861453458, 314.45425296766507, 326.0945776084175]
130,[390.9238861453458, 314.45425296766507, 360.8048984953617]
140,[390.9238861453458, 314.45425296766507, 360.8048984953617]
150,[390.9238861453458, 314.45425296766507, 360.8048984953617]
160,[390.9238861453458, 314.45425296766507, 360.8048984953617]
170,[390.9238861453458, 314.45425296766507, 360.8048984953617]
180,[390.9238861453458, 314.45425296766507, 396.8840598592014]
190,[390.9238861453458, 378.9161268470373, 396.8840598592014]
200,[390.9238861453458, 378.9161268470373, 396.8840598592014]
210,[390.9238861453458, 378.9161268470373, 396.8840598592014]
